0,Text,User,User ID,Description,Location
1,It's awesome that @MarthaMcSally hasn't cried foul regarding the AZ #Midterm. Her colleagues could take a cue from her. #politics #senate,JoshDoe,63777829,"Metalhead | guitar player | photographer | collector | learner | video games, movies, TV, comics. Photography handle: @JoshDoe_Visuals",Earth
2,"Here we go RT @10NewsWTSP: BREAKING | Faulty machine prevented 15,000 ballots from being counted in one Florida cou\xe2\x80\xa6 https://t.co/Qo2CWo59tp",Dr. DoMoore,130706525,,Bama to the Bay
3,RT @LPLResearch: #WeeklyMarketCommentary - #Midterm Takeaways https://t.co/5vg8s8AsiF @JohnLynchLPL @jbuchbinder_LPL #markets https://t.co/\xe2\x80\xa6,JohnLynchLPL,854765095016071176,"Chief Investment Strategist, EVP Research, LPL Financial | Member FINRA/SIPC https://t.co/Ewb0ZEwlcR, https://t.co/0ZqgzC0sI8",
4,"RT LPLResearch ""#WeeklyMarketCommentary - #Midterm Takeaways https://t.co/pHSxwrnc6k JohnLynchLPL jbuchbinder_LPL\xe2\x80\xa6 https://t.co/fGPthtMidt",ConciergeWealthMGMT,96995645,"Providing financial confidence & guidance. Securities offered through LPL Financial, Member SIPC https://t.co/0ZqgzC0sI8","Boston, MA "
5,RT @MorganRadford: \xe2\x80\x9cThe first county in metro #Atlanta has certified the results of its #midterm election... Democrat @staceyabrams got abo\xe2\x80\xa6,David G,4236875068,,United States
6,#WeeklyMarketCommentary - #Midterm Takeaways https://t.co/5vg8s8AsiF @JohnLynchLPL @jbuchbinder_LPL #markets https://t.co/3cLi4ycPoK,LPL Research,313335112,LPL Financial | Member SIPC | https://t.co/17C89y5LIt & https://t.co/ByaEosHXVh,"Boston, Carolinas, San Diego"
7,RT @GrahamLedger: Tonight: Florida and the #midterm fiasco. The sunshine state facing scrutiny over political &amp; election irregularities. Al\xe2\x80\xa6,Dawn Paradiso,560796972,"I am a mom, wife and a hardworking woman. I love my Country. I love our President #MAGA",
8,RT @GrahamLedger: Tonight: Florida and the #midterm fiasco. The sunshine state facing scrutiny over political &amp; election irregularities. Al\xe2\x80\xa6,JB,863853462387380226,#MEGA,
9,"RT LPLResearch ""#WeeklyMarketCommentary - #Midterm Takeaways https://t.co/2gBpnzgNH1 JohnLynchLPL jbuchbinder_LPL J\xe2\x80\xa6 https://t.co/uBATFuyoP6",ConciergeWealthMGMT,96995645,"Providing financial confidence & guidance. Securities offered through LPL Financial, Member SIPC https://t.co/0ZqgzC0sI8","Boston, MA "
10,RT @MorganRadford: \xe2\x80\x9cThe first county in metro #Atlanta has certified the results of its #midterm election... Democrat @staceyabrams got abo\xe2\x80\xa6,Jose A.Munoz,978667389540753409,"Prof @CSUSB of Sociology & Coordinator of the MA program in Social Science and Globalization \xe2\x98\x95\xef\xb8\x8f\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x92\xbbNiche Studies, #14.5",
11,Spoke with @US_Vote's CEO Susan Dzieduszycka-Suinat about why #overseas votes are crucial this #midterm-even though\xe2\x80\xa6 https://t.co/9KK3XY8Heo,Danielle Prieur,745663294837559296,90.7 WMFE Reporter,"Orlando, FL"
12,RT @MorganRadford: \xe2\x80\x9cThe first county in metro #Atlanta has certified the results of its #midterm election... Democrat @staceyabrams got abo\xe2\x80\xa6,Scott Coons,774441339421204484,I miss the America where we didn't put people into 1 of 2 baskets. submitted for your approval by your favorite basket case. \nmissing \xf0\x9f\x8f\x8e & \xe2\x9a\xbe \n #Resist,USA - made great by immigrants
